Date/Time,Word Count,en,ko
2026.07.18-23.40.37,3781,0,3781
2026.07.18-23.43.36,893,0,893
2026.07.18-23.54.28,893,893,893
2026.07.19-00.47.41,902,893,902
2026.07.19-00.50.17,902,902,902
2026.07.19-01.04.45,981,902,981
2026.07.19-01.11.51,981,981,981
2026.07.19-01.33.33,991,981,991
2026.07.19-01.35.56,991,991,991
2026.07.19-09.21.06,1017,991,1017
2026.07.19-09.25.35,1017,1017,1017
2026.07.19-18.18.12,1021,1017,1021
2026.07.19-18.22.18,1021,1021,1021
2026.07.19-18.44.25,1025,1021,1025
2026.07.19-18.47.30,1025,1025,1025
2026.07.19-22.59.20,1026,1011,1026
2026.07.19-23.04.12,1026,1026,1026
2026.07.20-21.11.54,1183,1007,1183
2026.07.20-23.11.52,1183,1168,1183
2026.07.20-23.13.17,1183,1183,1183
2026.07.20-23.23.46,1185,1182,1185
2026.07.20-23.30.03,1186,1182,1186
2026.07.20-23.31.17,1186,1186,1186
2026.07.21-22.28.14,1234,1186,1234
2026.07.21-22.33.25,1234,1234,1234
2026.07.22-00.47.59,1253,1215,1253
2026.07.22-00.50.50,1253,1253,1253
2026.08.06-16.45.07,2063,1190,2063
2026.08.06-17.32.02,2063,2063,2063
2026.08.06-18.30.37,2064,2063,2064
2026.08.06-18.32.10,2064,2064,2064
2026.08.06-18.41.05,2064,2014,2064
2026.08.06-18.43.50,2064,2064,2064
2026.08.06-19.12.49,2066,2064,2066
2026.08.06-19.14.40,2066,2066,2066
2026.08.06-20.47.30,2066,2056,2066
2026.08.06-20.51.02,2067,2057,2067
2026.08.06-20.53.19,2067,2067,2067
